source,destination,time,source_name,destination_name,source_longitude,source_latitude,destination_longitude,destination_latitude,destination_latitude_center,destination_longitude_center,angle,LineText
60200014,60200014,0.0,Alaudagasse,Alaudagasse,16.38233745,48.153693,16.38233745,48.153693,0.0,0.0,,U1
60200027,60200014,32.0,Alser Straße,Alaudagasse,16.34182805,48.21681995,16.38233745,48.153693,-26.931715724713268,17.28243872036676,0.5705276587560808,U1
60200031,60200014,21.0,Alte Donau,Alaudagasse,16.424612449999998,48.23818995,16.38233745,48.153693,-18.78061220005265,-9.39620164700788,0.46389871079040296,U1
60200033,60200014,2.0,Altes Landgut,Alaudagasse,16.383595550000003,48.161794,16.38233745,48.153693,-1.9763090408181545,-0.3069243802313948,0.15407102026281327,U1
60200048,60200014,30.0,Schöpfwerk,Alaudagasse,16.3244684,48.161044950000004,16.38233745,48.153693,-3.7809471124865794,29.760786934027458,1.444428702082156,U1
60200056,60200014,20.0,Neubaugasse,Alaudagasse,16.352495349999998,48.19920705,16.38233745,48.153693,-16.72542297167545,10.96632237436741,0.5803493465891435,U1
60200161,60200014,27.0,Braunschweiggasse,Alaudagasse,16.295834399999997,48.189391900000004,16.38233745,48.153693,-10.299976504310267,24.958174693087162,1.1793988187762152,U1
60200188,60200014,28.0,Burggasse - Stadthalle,Alaudagasse,16.3372109,48.2032869,16.38233745,48.153693,-20.709759385171868,18.84425286946356,0.7382695652328158,U1
60200234,60200014,18.0,Donauinsel,Alaudagasse,16.41133555,48.22921705,16.38233745,48.153693,-16.803916608138408,-6.452006403184227,0.36660146238882607,U1
60200245,60200014,18.0,Stubentor,Alaudagasse,16.37926535,48.206930549999996,16.38233745,48.153693,-17.970105306185488,1.0369741002571722,0.057641586466990934,U1
60200282,60200014,29.0,Donaumarina,Alaudagasse,16.43126455,48.206269,16.38233745,48.153693,-21.229550156940128,-19.756168660293508,0.7494649811986389,U1
60200285,60200014,35.0,Erlaaer Straße,Alaudagasse,16.31654555,48.142292850000004,16.38233745,48.153693,5.975612085166137,34.48611402010404,1.3992240271760203,U1
60200289,60200014,24.0,Erdberg,Alaudagasse,16.41418745,48.1914015,16.38233745,48.153693,-18.33497618522127,-15.486402044612198,0.7013724029044336,U1
60200290,60200014,30.0,Donaustadtbrücke,Alaudagasse,16.43995555,48.211680900000005,16.38233745,48.153693,-21.280951267780956,-21.145238545316342,0.7821993783974023,U1
60200299,60200014,36.0,Aspernstraße,Alaudagasse,16.47486455,48.22260095,16.38233745,48.153693,-21.502542834169798,-28.87283587846357,0.9306748705393222,U1
60200334,60200014,38.0,Floridsdorf,Alaudagasse,16.40046095,48.25620495,16.38233745,48.153693,-37.41970210713217,-6.615579658162116,0.17498584780136595,U1
60200357,60200014,23.0,Friedensbrücke,Alaudagasse,16.36432205,48.22754785,16.38233745,48.153693,-22.344826956689772,5.450569536808981,0.23925743997563778,U1
60200399,60200014,27.0,Zippererstraße,Alaudagasse,16.41191055,48.180268,16.38233745,48.153693,-18.046738656249534,-20.082709574980882,0.8387437887502939,U1
60200425,60200014,28.0,Enkplatz,Alaudagasse,16.414748799999998,48.174709,16.38233745,48.153693,-15.233484313807837,-23.49342366835814,0.9955362685037641,U1
60200436,60200014,26.0,Gumpendorfer Straße,Alaudagasse,16.33756535,48.19083,16.38233745,48.153693,-16.59909410444592,20.011748422158135,0.8783438924657774,U1
60200473,60200014,33.0,Hardeggasse,Alaudagasse,16.45718535,48.2210065,16.38233745,48.153693,-22.06684944040934,-24.53679188024192,0.8383475395580406,U1
60200487,60200014,38.0,Hausfeldstraße,Alaudagasse,16.485679400000002,48.23345995,16.38233745,48.153693,-23.218927865703392,-30.081246462991896,0.9134422903355905,U1
60200491,60200014,26.0,Heiligenstadt,Alaudagasse,16.3658084,48.24850995,16.38233745,48.153693,-25.613718473105802,4.465134486270093,0.17259152106421308,U1
60200500,60200014,34.0,Dresdner Straße,Alaudagasse,16.3800655,48.237232500000005,16.38233745,48.153693,-33.98743328152091,0.9243262054952631,0.027189414770851156,U1
60200506,60200014,16.0,Herrengasse,Alaudagasse,16.36511745,48.209330949999995,16.38233745,48.153693,-15.284672814610147,4.73062120131358,0.30015033630816146,U1
60200520,60200014,26.0,Hietzing,Alaudagasse,16.3048134,48.18754495,16.38233745,48.153693,-10.40456458831973,23.827400943608666,1.1590879198661226,U1
60200560,60200014,32.0,Hütteldorf,Alaudagasse,16.260750350000002,48.1970034,16.38233745,48.153693,-10.737790448098396,30.144648883221826,1.2286009893208967,U1
60200606,60200014,25.0,Johnstraße,Alaudagasse,16.32006205,48.19764705,16.38233745,48.153693,-14.415973162575096,20.424977791319986,0.9561875633555098,U1
60200615,60200014,30.0,Josefstädter Straße,Alaudagasse,16.33919595,48.21169,16.38233745,48.153693,-24.070784431778772,17.905232107929695,0.6395582661532648,U1
60200627,60200014,22.0,Kagran,Alaudagasse,16.433178050000002,48.243263049999996,16.38233745,48.153693,-19.13276509625933,-10.859894095770947,0.5162606016133178,U1
60200633,60200014,24.0,Kagraner Platz,Alaudagasse,16.44340555,48.2504119,16.38233745,48.153693,-20.293393269038607,-12.813203722260042,0.5631867524207452,U1
60200641,60200014,19.0,"Kaisermühlen, V.I.C.",Alaudagasse,16.41628995,48.2327719,16.38233745,48.153693,-17.458832268767498,-7.495943957304023,0.40554908487586894,U1
60200653,60200014,22.0,Kardinal-Nagl-Platz,Alaudagasse,16.4005419,48.19717705,16.38233745,48.153693,-20.293398458948932,-8.495762413481746,0.3964769829704915,U1
