"FK_STEIG_ID_VON";"FK_STEIG_ID_NACH";"GEOMETRIE_WGS84"
214714625;214714627;"LINESTRING (16.2560299 48.375887, 16.2565024 48.3758154, 16.2589867 48.3754394, 16.2613089 48.3751172, 16.2621865 48.3750008, 16.2641306 48.3747323, 16.2671008 48.3742934, 16.2782117 48.3726269, 16.286163 48.3714345, 16.2874185 48.3712192, 16.2882015 48.3710667, 16.2888225 48.370932, 16.2899025 48.3706717, 16.2908475 48.3704113, 16.2917926 48.3701149, 16.2926971 48.3698095, 16.2936152 48.3694591, 16.2944658 48.3691176, 16.2950599 48.3688481, 16.2956809 48.3685605, 16.2962615 48.3682639, 16.2969501 48.3678865, 16.2975037 48.3675809, 16.2979763 48.3672933, 16.2985164 48.3669517, 16.2990025 48.3666281, 16.3017226748123 48.3647035427067)"
214714627;214714629;"LINESTRING (16.3017975 48.3646506, 16.3042143 48.3629516, 16.3077784 48.3604435, 16.3082374 48.3601108, 16.3108562 48.3582679, 16.3142442 48.3558765, 16.3191165 48.352442, 16.3204525 48.3514979, 16.3223957 48.3501222, 16.3231784 48.3495557, 16.3237451 48.3491151, 16.324096 48.3488184, 16.3245008 48.3484767, 16.3248112 48.348189, 16.3251215 48.3479012, 16.3254184 48.3475955, 16.3256748 48.3473167, 16.3259717 48.346993, 16.3262415 48.3466513, 16.326444 48.3463995, 16.3266734 48.3460848, 16.3272536 48.3452305, 16.3288053 48.3429913, 16.3291561 48.3425147, 16.3291696 48.3424967)"
214714629;214714632;"LINESTRING (16.3294916803375 48.3420731975077, 16.3296688 48.3418403, 16.3299252 48.3414626, 16.3318139 48.3387378, 16.3321512 48.3382612, 16.3328796 48.337254, 16.3337025 48.3360669, 16.3356043 48.3333151, 16.3442881 48.3206616, 16.3472132 48.3164076, 16.3477746979899 48.3155909315584)"
214714632;214714633;"LINESTRING (16.3478872 48.3154273, 16.3483184 48.3147888, 16.3494236 48.3131879, 16.3501648 48.3121086, 16.3509869 48.3110024, 16.3511755 48.3107685, 16.3514451 48.3104537, 16.3516337 48.3102199, 16.3519033 48.3099411, 16.3521054 48.3097252, 16.3523211 48.3095094, 16.352658 48.3092035, 16.3533453 48.3085649, 16.3536822 48.3082681, 16.3541674 48.3078723, 16.3550434 48.3071618)"
214714633;214714635;"LINESTRING (16.3550823807594 48.3071301036254, 16.3557846 48.3065591, 16.3581158 48.3046701, 16.3609455 48.3024393, 16.3720191 48.2934073, 16.3747666 48.2911761, 16.3781334 48.2884231, 16.3812171 48.2859218, 16.3815097401997 48.2856729274119)"
214714638;214714640;"LINESTRING (16.4028764366557 48.2683647608707, 16.4033328 48.2679877, 16.4035749 48.2677808, 16.4038575 48.2675198, 16.4041131 48.2672858, 16.4043283 48.2670698, 16.4045435 48.2668179, 16.4047318 48.266575, 16.4048796 48.2663411, 16.4056859 48.2649557, 16.4058068 48.2647128, 16.4060083 48.264281, 16.4060888 48.2640561, 16.4061423 48.2638222, 16.4061824 48.2635884, 16.4061955 48.2633456, 16.4061817 48.2630848, 16.4061409 48.262788, 16.4060867 48.2625632, 16.4060056 48.2623115, 16.405938 48.2621317, 16.40583 48.2619339, 16.405722 48.2617541, 16.4055465 48.2614934, 16.4052498 48.2611518, 16.4049396 48.2608372, 16.4043866 48.260235, 16.4037259 48.2596958, 16.4024451 48.2586354, 16.4010565 48.257503, 16.4008273 48.2573143, 16.4005711 48.2570716, 16.4004228 48.2569278)"
214714640;214714642;"LINESTRING (16.4004187316176 48.256923541999, 16.4003284 48.256829, 16.4000587 48.2565054, 16.3998428 48.2562177, 16.3996 48.2558761, 16.3993706 48.2555165, 16.3992222 48.2552648, 16.3990872 48.2549861, 16.3989791 48.2547163, 16.3986684 48.2539521, 16.3984793 48.2534755, 16.3979931 48.2522707, 16.3975744 48.2512187, 16.3972772 48.2504365, 16.3970341 48.2498431, 16.3967641 48.2492137, 16.3966156 48.248926, 16.3964807 48.2486653, 16.3962918 48.2483866, 16.3960895 48.2481079, 16.3959007 48.2478652, 16.3957254 48.2476494, 16.3955097 48.2474247, 16.3952267 48.2471551, 16.3949975 48.2469394, 16.394701 48.2466877, 16.394418 48.246472, 16.3941081 48.2462653, 16.3937039 48.2460047, 16.3933266 48.2457891, 16.392909 48.2455645, 16.392424 48.2453219, 16.3920064 48.2451152, 16.3887869 48.2436149, 16.3875746 48.2430669, 16.3853926 48.2420516, 16.385299396564 48.2420072221188)"
214714642;214714644;"LINESTRING (16.3852983 48.2420067, 16.3849616 48.2418449, 16.3845171 48.2416293, 16.3841938 48.2414585, 16.3839513 48.2413058, 16.3837088 48.241153, 16.3835472 48.2410271, 16.3833855 48.2409013, 16.3831699 48.2407125, 16.3829812 48.2405238, 16.382833 48.2403619, 16.3826982 48.2401911, 16.382523 48.2399394, 16.3823881 48.2397056, 16.3822802 48.2394718, 16.3821993 48.239292, 16.3821453 48.2391122, 16.3820912 48.2389053, 16.3820372 48.2387075, 16.3819561 48.2383029, 16.381929 48.238096, 16.3819153 48.2378622, 16.3819151 48.2376554, 16.3819284 48.2374305, 16.3819686 48.2372327, 16.3820088 48.2369988, 16.382049 48.236801, 16.3821295 48.2365671, 16.3822236 48.2363332, 16.3823445 48.2360724, 16.3824654 48.2358565, 16.3825595 48.2357126, 16.3826536 48.2355687, 16.3828553 48.2352988, 16.3830167 48.2351188, 16.3832857 48.2348399, 16.3835681 48.234579, 16.3839428625843 48.2342387681299)"
214714644;214714645;"LINESTRING (16.3839447 48.2342371, 16.3839716 48.2342191, 16.3844289 48.2338232, 16.3846979 48.2335893, 16.3849804 48.2333374, 16.3859219 48.2325186, 16.3872264 48.2313759, 16.3875088 48.231115, 16.3876836 48.230935, 16.3878181 48.2308001, 16.3879794 48.2306201, 16.3881004 48.2304582, 16.3882348 48.2302693, 16.3883289 48.2301074, 16.3884229 48.2299275, 16.388517 48.2297386, 16.3886109 48.2294957, 16.3886914 48.2292438, 16.3887585 48.228992, 16.3887852 48.2287852, 16.3888252 48.2284704, 16.3888653 48.2281376, 16.3888918 48.2278048, 16.3889319 48.2274721, 16.3889854 48.2271393, 16.3891059 48.2265727, 16.3895614 48.224486, 16.3896686 48.2240813, 16.3897491 48.2238384, 16.3898297 48.2236406, 16.3901252 48.2230918, 16.3904744 48.2223992, 16.390743 48.2218775, 16.391307 48.2207351, 16.3915084 48.2203213, 16.3916157 48.2200334, 16.3917231 48.2197186, 16.3918303 48.2193319, 16.3919508 48.2188012, 16.3919642 48.2186843, 16.3920177 48.2183875, 16.3920302854514 48.2183283295988)"
214714645;214714647;"LINESTRING (16.3920311 48.2183245, 16.3920578 48.2181536, 16.392071 48.2179288, 16.3920842 48.217731, 16.3920706 48.2175241, 16.3920703 48.2172363, 16.3920835 48.2170385, 16.3920696 48.2166698, 16.3921096 48.216265, 16.3921496 48.2159413, 16.3921763 48.2157524, 16.3922432 48.2154466, 16.3923505 48.2150958, 16.3925918 48.2143043, 16.3926321 48.2141784, 16.3926454 48.2140615, 16.3926721 48.2139086, 16.392672 48.2137916, 16.3926584 48.2136478, 16.3926314 48.2135309, 16.3926043 48.213378, 16.3925233 48.2131712, 16.3923343 48.2126047, 16.3922534 48.2124069, 16.3921724 48.2122271, 16.3921185 48.2121102, 16.3919972 48.2119663, 16.391876 48.2118315, 16.3917548 48.2117147, 16.3915932 48.2115978, 16.3900581 48.2104834, 16.3895195 48.2101059, 16.3881596 48.2091173, 16.3877152 48.2087937, 16.3874055 48.2085691, 16.3871767 48.2084163, 16.3870151 48.2083264, 16.3864229 48.2080659, 16.386194 48.2079491, 16.3859786 48.2078232, 16.3857767 48.2076794, 16.3856824 48.2076165, 16.3855478 48.2074997, 16.3854131 48.2073738, 16.3853458 48.2072929, 16.3851707 48.2070772, 16.3849686 48.2067895, 16.3842716213202 48.2058056121355)"
